TIME      PID     PREVIOUS    CURRENT

  5          2        NEW      READY

  5          2      READY    RUNNING

 15          3        NEW      READY

 20          1        NEW      READY

 20          2    RUNNING    WAITING

 21          3      READY    RUNNING

 25          2    WAITING      READY

 36          3    RUNNING    WAITING

 37          1      READY    RUNNING

 42          1    RUNNING    WAITING

 43          2      READY    RUNNING

 45          3    WAITING      READY

 55          1    WAITING      READY

 58          2    RUNNING    WAITING

 59          3      READY    RUNNING

 63          2    WAITING      READY

 64          3    RUNNING TERMINATED

 65          1      READY    RUNNING

 70          1    RUNNING    WAITING

 71          2      READY    RUNNING

 80          1    WAITING      READY

 81          2    RUNNING TERMINATED

 82          1      READY    RUNNING

 87          1    RUNNING    WAITING

 97          1    WAITING      READY

 98          1      READY    RUNNING

103          1    RUNNING    WAITING

113          1    WAITING      READY

114          1      READY    RUNNING

119          1    RUNNING    WAITING

129          1    WAITING      READY

130          1      READY    RUNNING

135          1    RUNNING    WAITING

145          1    WAITING      READY

146          1      READY    RUNNING

151          1    RUNNING    WAITING

161          1    WAITING      READY

162          1      READY    RUNNING

167          1    RUNNING    WAITING

177          1    WAITING      READY

178          1      READY    RUNNING

183          1    RUNNING    WAITING

193          1    WAITING      READY

194          1      READY    RUNNING

199          1    RUNNING    WAITING

209          1    WAITING      READY

210          1      READY    RUNNING

215          1    RUNNING    WAITING

225          1    WAITING      READY

226          1      READY    RUNNING

231          1    RUNNING    WAITING

241          1    WAITING      READY

242          1      READY    RUNNING

247          1    RUNNING    WAITING

257          1    WAITING      READY

258          1      READY    RUNNING

263          1    RUNNING TERMINATED

