TIME      PID     PREVIOUS    CURRENT
  5          2        NEW      READY
  5          2      READY    RUNNING
 15          3        NEW      READY
 20          1        NEW      READY
 21          2    RUNNING    WAITING
 21          3      READY    RUNNING
 26          2    WAITING      READY
 37          3    RUNNING    WAITING
 37          1      READY    RUNNING
 42          3    WAITING      READY
 43          1    RUNNING    WAITING
 44          2      READY    RUNNING
 53          1    WAITING      READY
 59          2    RUNNING    WAITING
 59          3      READY    RUNNING
 64          2    WAITING      READY
 64          3    RUNNING TERMINATED
 64          1      READY    RUNNING
 69          1    RUNNING    WAITING
 70          2      READY    RUNNING
 79          1    WAITING      READY
 80          2    RUNNING TERMINATED
 80          1      READY    RUNNING
 85          1    RUNNING    WAITING
 95          1    WAITING      READY
 95          1      READY    RUNNING
100          1    RUNNING    WAITING
110          1    WAITING      READY
110          1      READY    RUNNING
115          1    RUNNING    WAITING
125          1    WAITING      READY
125          1      READY    RUNNING
130          1    RUNNING    WAITING
140          1    WAITING      READY
140          1      READY    RUNNING
145          1    RUNNING    WAITING
155          1    WAITING      READY
155          1      READY    RUNNING
160          1    RUNNING    WAITING
170          1    WAITING      READY
170          1      READY    RUNNING
175          1    RUNNING    WAITING
185          1    WAITING      READY
185          1      READY    RUNNING
190          1    RUNNING    WAITING
200          1    WAITING      READY
200          1      READY    RUNNING
205          1    RUNNING    WAITING
215          1    WAITING      READY
215          1      READY    RUNNING
220          1    RUNNING    WAITING
230          1    WAITING      READY
230          1      READY    RUNNING
235          1    RUNNING    WAITING
245          1    WAITING      READY
245          1      READY    RUNNING
250          1    RUNNING TERMINATED
